station_id,station_reason,temperature_obs,time_utc,timestamp_pipeline,wind_obs
SN30247,fallback_data,5.2,2026-05-10 08:40:00+00:00,2026-05-10 12:06:40.584264+00:00,
SN30247,fallback_data,5.1,2026-05-10 08:50:00+00:00,2026-05-10 12:06:40.584265+00:00,
SN30247,fallback_data,5.6,2026-05-10 09:00:00+00:00,2026-05-10 12:06:40.584267+00:00,
SN30247,fallback_data,5.7,2026-05-10 09:10:00+00:00,2026-05-10 12:06:40.584268+00:00,
SN30247,fallback_data,6.0,2026-05-10 09:20:00+00:00,2026-05-10 12:06:40.584269+00:00,
SN30247,fallback_data,6.0,2026-05-10 09:30:00+00:00,2026-05-10 12:06:40.584270+00:00,
SN30247,fallback_data,6.7,2026-05-10 09:40:00+00:00,2026-05-10 12:06:40.584271+00:00,
SN30247,fallback_data,6.9,2026-05-10 09:50:00+00:00,2026-05-10 12:06:40.584272+00:00,
SN30247,fallback_data,7.0,2026-05-10 10:00:00+00:00,2026-05-10 12:06:40.584273+00:00,
SN30247,fallback_data,7.0,2026-05-10 10:10:00+00:00,2026-05-10 12:06:40.584274+00:00,
SN30247,fallback_data,7.6,2026-05-10 10:20:00+00:00,2026-05-10 12:06:40.584275+00:00,
SN30247,fallback_data,8.2,2026-05-10 10:30:00+00:00,2026-05-10 12:06:40.584276+00:00,
SN30247,fallback_data,8.0,2026-05-10 10:40:00+00:00,2026-05-10 12:06:40.584277+00:00,
SN30247,fallback_data,9.0,2026-05-10 10:50:00+00:00,2026-05-10 12:06:40.584279+00:00,
SN30247,fallback_data,9.8,2026-05-10 11:00:00+00:00,2026-05-10 12:06:40.584280+00:00,
SN30247,fallback_data,9.5,2026-05-10 11:10:00+00:00,2026-05-10 12:06:40.584281+00:00,
SN30247,fallback_data,10.5,2026-05-10 11:20:00+00:00,2026-05-10 12:06:40.584282+00:00,
SN30247,fallback_data,9.7,2026-05-10 11:30:00+00:00,2026-05-10 12:06:40.584283+00:00,
SN30247,fallback_data,10.8,2026-05-10 11:40:00+00:00,2026-05-10 12:06:40.584284+00:00,
SN30247,fallback_data,10.7,2026-05-10 11:50:00+00:00,2026-05-10 12:06:40.584285+00:00,
SN30247,fallback_data,10.4,2026-05-10 12:00:00+00:00,2026-05-10 12:22:46.005669+00:00,
SN30247,fallback_data,11.2,2026-05-10 12:10:00+00:00,2026-05-10 13:10:36.451989+00:00,
SN30247,fallback_data,10.6,2026-05-10 12:20:00+00:00,2026-05-10 13:10:36.451990+00:00,
SN30247,fallback_data,11.7,2026-05-10 12:30:00+00:00,2026-05-10 13:10:36.451991+00:00,
SN30247,fallback_data,11.2,2026-05-10 12:40:00+00:00,2026-05-10 13:10:36.451992+00:00,
SN30247,fallback_data,10.4,2026-05-10 12:50:00+00:00,2026-05-10 13:10:36.451993+00:00,
SN30247,fallback_data,10.6,2026-05-10 13:00:00+00:00,2026-05-10 14:49:31.070332+00:00,
SN30247,fallback_data,9.9,2026-05-10 13:10:00+00:00,2026-05-10 14:49:31.070333+00:00,
SN30247,fallback_data,10.8,2026-05-10 13:20:00+00:00,2026-05-10 14:49:31.070334+00:00,
SN30247,fallback_data,9.5,2026-05-10 13:30:00+00:00,2026-05-10 14:49:31.070335+00:00,
SN30247,fallback_data,9.5,2026-05-10 13:40:00+00:00,2026-05-10 14:49:31.070337+00:00,
SN30247,fallback_data,9.7,2026-05-10 13:50:00+00:00,2026-05-10 14:49:31.070338+00:00,
SN30247,fallback_data,9.6,2026-05-10 14:00:00+00:00,2026-05-10 14:49:31.070339+00:00,
